394, Decode String, 03-08-2024, Medium, String and Stack (expand a string using stacks)
141, LinkedList cycle, 03-11-2024, Easy, Fast and regular pointer -- go thru them and see if fast == regular else false
138, Copy List with Random Pointer, 03-11-2024, Medium, use a dict + traverse twice to make a deep copy
287, Find the duplicate Number, 03-11-2024, Medium, find the cycle and that will be the double number. You can use the nums as indexes
146, LRU Cache, 03-11-2024, Medium, use a dict and capacity int to do this. removing the most recent when reaching capacity
23, Merge k Sorted Lists, 03-12-2024, Hard, use a heapq to store all nodes and then pop them out to and recreate a list
25, Reverse Nodes in k-Group, 03-12-2024, Hard, recursive - divide the into sections and then reverse that section and recursive call for the next section
3, Longest Substring Without Repeating Characters, 03-12-2024, Medium, sliding window -- slide the window by adding/removing letter to a set to find a substring with no repeats. Find the max length for the substrings
424, Longest Repeating Character Replacement, 03-12-2024, Medium, sliding window -- slide the window like earlier but this time see if there difference between most common letter and other letters is <= K. this will determine the length for a longest substring for repeating character
121, Best Time to Buy and Sell Stock, 03-12-2024, Easy, find the min price and find the max price and substract the 2. It needs to be in order so traverse thru the array -- find max profit by max(curr max and price - min price) and find min price by min of the curr min price and price
1465, Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts, 03-12-2024, Medium, find the max gaps and multiply them together to find max area
1197, Minimum Knight Moves, 03-12-2024, Medium, DFS with cache to find the answer
28, Find the Index of the First Occurrence in a String, 03-12-2024, Easy, sliding window and checking if the substring exists (may possibly be on citizen interview)
694, Number of Distinct Islands, 03-12-2024, Medium, bfs with string and set to find distinct islands. Start with the beginning of an island and then move in all directions with bfs. change values for island 
200, Number of Islands, 03-13-2024, Medium, Same bfs as distinct islands but get rid of the string component since we are just counting all the islands not the distinct ones
259, 3Sum Smaller, 03-13-2024, Medium, Like 3sum but we add a counter for the when things are smaller than the target
621, Task Scheduler, 03-13-2024, Medium, use a counter to count the tasks and the number of them. Get the max number of tasks of a type. Get the number of tasks of that == the max number of tasks of a type. get the max number of tasks of a type - 1 * n + 1 + the number of tasks of that == the max number of tasks of a type. return the max len(all tasks) and the prev number
238, Product of Array Except Self, 03-13-2024, Medium, make ans array: [1] * len(given_array). pre = post = 1. Loop thru nums and ans[i] *= pre and ans[-i-1] *= post. new pre and post are got by pre * nums[i] and post * nums[-i-1]
88, Merge Sorted Array, 03-13-2024, Easy, start with finding the end index of each array and the end of the bigger array. start from the end of each array and loop forward comparing the values and adding them to the longer array of the 2. 
198, House Robber, 03-13-2024, Medium, Base case for 1 and 2 houses. If there are more than 2 houses then 1. prev = i[0] and curr = max(i[0] or i[1]). Loop thru the rest of the values. prev = curr and curr = max(val[i] + prev or curr). return curr
856, Score of Parentheses, 03-13-2024, Medium, check if parentheses start and if so then add flag. when they end and there is a flag then 2 * the len - 1 to get score 
213, House Robber II, 03-13-2024, Medium, check edge cases like in robber and then make a helper function -- this function will have a memo that is keep track of the most money and then call this helper with the last index of houses removed or the first index of the houses removed since the houses are looped and we cannot rob adjacent homes
199, Binary Tree Right Side View, 03-13-2024, Medium, BFS but only adding the right side of the tree. do BFS but only run for len of q per iteration so while loop with a for loop inside it. and append the values in the while loop
207, Course schedule, 03-13-2024, Medium, DFS to check if there are cycles. Make an adjacency list and a visited set. DFS with a base case of if visited already -> false and if no adjacent nodes -> True. add current couse to visited then loop thru all prereqs of that course checking dfs(prereq) == False. outside loop remove course from visited and remove array of prereqs from adjacency list for speed optimizations. Last loop thru all the courses and see if dfs returns false if not then it is true
210, Course Schedule II, 03-13-2024, Medium, Same as the course schedule 1 but this time it is a topological sort and you keep track of all the nodes you visited
230, Kth Smallest Element in a BST, 03-13-2024, Medium, inorder traversal with early stopping if ret == k
208, Implement Trie (Prefix Tree), 03-13-2024, Medium, trie which is a hashmap of a hashmap of so on of letters 
465, Optimal Account Balancing, 03-13-2024, Hard, used permutations and recursion to solve this
